ticker,company,sector,industry,first_seen,n_snapshots
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,2024-06,2
DXPE,"DXP Enterprises, Inc.",Industrials,Trading Companies & Distributors,2021-06,5
DY,"Dycom Industries, Inc.",Industrials,Construction & Engineering,2023-06,3
EAT,"Brinker International, Inc.",Consumer Discretionary,Restaurants,2021-06,5
EBIX,"Ebix, Inc.",Information Technology,Application Software,2021-06,3
EBS,Emergent BioSolutions,Health Care,Biotechnology,2022-06,2
ECG,"Everus Construction Group, Inc.",Industrials,Construction & Engineering,2025-06,1
ECHO,"Echo Global Logistics, Inc.",Industrials,Air Freight & Logistics,2021-06,1
ECOL,"US Ecology, Inc.",Industrials,Environmental & Facilities Services,2021-06,1
ECPG,"Encore Capital Group, Inc.",Financials,Consumer Finance,2021-06,5
EFC,"Ellington Financial, Inc.",Financials,Specialized Finance,2021-06,5
EGBN,Eagle Bancorp Inc,Financials,Regional Banks,2021-06,5
EGHT,"8x8, Inc.",Information Technology,Application Software,2021-06,3
EGRX,"Eagle Pharmaceuticals, Inc.",Health Care,Biotechnology,2021-06,2
EHAB,"Enhabit, Inc.",Health Care,Health Care Facilities,2023-06,2
EHTH,"eHealth, Inc.",Financials,Insurance Brokers,2021-06,2
EIG,"Employers Holdings, Inc.",Financials,Property & Casualty Insurance,2021-06,5
ELF,"e.l.f. Beauty, Inc.",Consumer Staples,Personal Products,2021-06,3
ELME,Elme Communities,Real Estate,Diversified REITs,2024-06,2
EMBC,Embecta Corp.,Health Care,Health Care Equipment,2022-06,4
ENDP,Endo International plc,Health Care,Pharmaceuticals,2021-06,1
ENOV,Enovis,Health Care,Health Care Equipment,2025-06,1
ENR,Energizer,Consumer Staples,Household Products,2024-06,2
ENSG,"Ensign Group, Inc.",Health Care,Health Care Facilities,2021-06,4
ENTA,"Enanta Pharmaceuticals, Inc.",Health Care,Biotechnology,2021-06,3
ENV,"Envestnet, Inc.",Information Technology,Application Software,2024-06,1
ENVA,"Enova International, Inc.",Financials,Consumer Finance,2021-06,5
EPAC,Enerpac Tool Group,Industrials,Industrial Machinery,2021-06,5
EPAY,"Bottomline Technologies (de), Inc.",Information Technology,Application Software,2021-06,1
EPC,Edgewell Personal Care,Consumer Staples,Household Products,2021-06,5
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,Diversified REITs,2021-06,5
ESE,ESCO Technologies Inc.,Industrials,Industrial Machinery,2021-06,5
ESI,Element Solutions,Materials,Specialty Chemicals,2025-06,1
ETD,Ethan Allen Interiors Inc.,Consumer Discretionary,Home Furnishings,2022-06,4
ETH,Ethan Allen Interiors Inc.,Consumer Discretionary,Home Furnishings,2021-06,1
ETSY,Etsy,Consumer Discretionary,Broadline Retail,2025-06,1
EVTC,"EVERTEC, Inc.",Information Technology,Data Processing & Outsourced Services,2021-06,5
EXLS,"ExlService Holdings, Inc.",Information Technology,Data Processing & Outsourced Services,2021-06,2
EXPI,"eXp World Holdings, Inc.",Real Estate,Real Estate Services,2023-06,3
EXPO,"Exponent, Inc.",Industrials,Research & Consulting Services,2021-06,2
EXTR,"Extreme Networks, Inc.",Information Technology,Communications Equipment,2021-06,5
EYE,National Vision Holdings,Consumer Discretionary,Specialty Stores,2022-06,4
EZPW,"EZCORP, Inc.",Financials,Consumer Finance,2021-06,5
FARO,"FARO Technologies, Inc.",Information Technology,Electronic Equipment & Instruments,2021-06,2
FBC,"Flagstar Bancorp, Inc.",Financials,Thrifts & Mortgage Finance,2021-06,2
FBK,FB Financial Corp.,Financials,Regional Banks,2021-06,5
FBNC,First Bancorp (Southern Pines NC),Financials,Regional Banks,2021-06,5
FBP,First BanCorp (Puerto Rico),Financials,Regional Banks,2021-06,5
FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,Mortgage REITs,2022-06,4
FCF,First Commonwealth Financial Corp.,Financials,Regional Banks,2021-06,5
FCPT,"Four Corners Property Trust, Inc.",Real Estate,Specialized REITs,2021-06,5
FDP,"Fresh Del Monte Produce, Inc.",Consumer Staples,Packaged Foods & Meats,2021-06,5
FELE,"Franklin Electric Co., Inc.",Industrials,Industrial Machinery,2021-06,5
FF,FutureFuel Corp.,Materials,Specialty Chemicals,2021-06,3
FFBC,First Financial Bancorp.,Financials,Regional Banks,2021-06,5
FHB,"First Hawaiian, Inc.",Financials,Regional Banks,2021-06,5
FIX,"Comfort Systems USA, Inc.",Industrials,Construction & Engineering,2021-06,3
FIZZ,National Beverage Corp.,Consumer Staples,Soft Drinks,2021-06,5
FL,Foot Locker,Consumer Discretionary,Apparel Retail,2024-06,2
FLGT,"Fulgent Genetics, Inc.",Health Care,Health Care Services,2021-06,4
FLOW,"SPX FLOW, Inc.",Industrials,Industrial Machinery,2021-06,1
FMBI,"First Midwest Bancorp, Inc.",Financials,Regional Banks,2021-06,1
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,2025-06,1
FN,Fabrinet,Information Technology,Electronic Manufacturing Services,2021-06,4
FOE,Ferro Corp.,Materials,Specialty Chemicals,2021-06,1
FORM,"FormFactor, Inc.",Information Technology,Semiconductor Equipment,2021-06,5
FORR,"Forrester Research, Inc.",Industrials,Research & Consulting Services,2021-06,3
FOSL,"Fossil Group, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2021-06,2
FOXF,Fox Factory,Consumer Discretionary,Automotive Parts & Equipment,2024-06,2
FRGI,"Fiesta Restaurant Group, Inc.",Consumer Discretionary,Restaurants,2021-06,1
FRPT,Freshpet,Consumer Staples,Packaged Foods & Meats,2025-06,1
FSP,Franklin Street Properties Corp.,Real Estate,Office REITs,2021-06,2
FSS,Federal Signal Corporation,Industrials,Construction Machinery & Heavy Trucks,2021-06,5
FTDR,"Frontdoor, Inc.",Consumer Discretionary,Specialized Consumer Services,2023-06,3
FTRE,"Fortrea Holdings, Inc.",Health Care,Biotechnology,2024-06,2
FUL,H.B. Fuller Company,Materials,Specialty Chemicals,2021-06,5
FULT,Fulton Financial Corporation,Financials,Regional Banks,2023-06,3
FUN,Six Flags,Consumer Discretionary,Leisure Facilities,2025-06,1
FWRD,Forward Air Corp.,Industrials,Air Freight & Logistics,2021-06,5
GBX,"The Greenbrier Companies, Inc.",Industrials,Construction Machinery & Heavy Trucks,2021-06,5
GCI,"Gannett Co., Inc.",Consumer Discretionary,Publishing,2021-06,2
GCO,"Genesco, Inc.",Consumer Discretionary,Apparel Retail,2021-06,2
GCP,"GCP Applied Technologies, Inc.",Materials,Diversified Chemicals,2021-06,2
GDEN,Golden Entertainment,Consumer Discretionary,Casinos & Gaming,2022-06,4
GDOT,Green Dot Corporation,Financials,Consumer Finance,2021-06,4
GDYN,"Grid Dynamics Holdings, Inc.",Information Technology,IT Consulting & Other Services,2025-06,1
GEO,"GEO Group, Inc.",Real Estate,Specialized REITs,2021-06,5
GES,"Guess, Inc.",Consumer Discretionary,Apparel Retail,2021-06,5
GFF,Griffon Corporation,Industrials,Building Products,2021-06,5
GHL,"Greenhill & Co., Inc.",Financials,Investment Banking & Brokerage,2021-06,1
GIII,"G-III Apparel Group, Ltd.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2021-06,5
GKOS,Glaukos Corp.,Health Care,Health Care Equipment,2021-06,5
GLT,Glatfelter Corp.,Materials,Paper Products,2021-06,2
GME,GameStop Corp.,Consumer Discretionary,Computer & Electronics Retail,2021-06,1
GMS,"GMS, Inc.",Industrials,Building Products,2021-06,5
GNL,"Global Net Lease, Inc.",Real Estate,Diversified REITs,2021-06,5
GNW,"Genworth Financial, Inc.",Financials,Multi-line Insurance,2021-06,5
GO,Grocery Outlet,Consumer Staples,Food Retail,2025-06,1
GOGO,"Gogo, Inc.",Communication Services,Wireless Telecommunication Services,2022-06,4
GOLF,Acushnet Company,Consumer Discretionary,Leisure Products,2025-06,1
GPI,"Group 1 Automotive, Inc.",Consumer Discretionary,Automotive Retail,2021-06,5
GPMT,"Granite Point Mortgage Trust, Inc.",Financials,Mortgage REITs,2021-06,2
GPRE,"Green Plains, Inc.",Energy,Oil & Gas Refining & Marketing,2021-06,4
GRBK,"Green Brick Partners, Inc.",Consumer Discretionary,Homebuilding,2023-06,3
GSHD,"Goosehead Insurance, Inc.",Financials,Insurance Brokers,2024-06,2
GTES,Gates Corporation,Industrials,Industrial Machinery & Supplies & Components,2025-06,1
GTLS,"Chart Industries, Inc.",Industrials,Industrial Machinery,2021-06,1
GTY,Getty Realty Corp.,Real Estate,Retail REITs,2021-06,5
GVA,"Granite Construction, Inc.",Industrials,Construction & Engineering,2021-06,5
GWB,"Great Western Bancorp, Inc.",Financials,Regional Banks,2021-06,1
HA,"Hawaiian Holdings, Inc.",Industrials,Airlines,2021-06,3
HAFC,Hanmi Financial Corporation,Financials,Regional Banks,2021-06,5
HAIN,Hain Celestial Group,Consumer Staples,Packaged Foods & Meats,2023-06,2
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Financials,Specialized Finance,2024-06,2
HAYN,"Haynes International, Inc.",Materials,Steel,2021-06,4
HAYW,"Hayward Holdings, Inc.",Industrials,Electrical Components & Equipment,2024-06,2
HBI,Hanesbrands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2023-06,3
HCC,"Warrior Met Coal, Inc.",Materials,Diversified Metals & Mining,2021-06,5
HCI,"HCI Group, Inc.",Financials,Property & Casualty Insurance,2021-06,5
HCSG,"Healthcare Services Group, Inc.",Real Estate,Health Care REITs,2022-06,4
HELE,Helen of Troy Limited,Consumer Discretionary,Household Appliances,2025-06,1
HFWA,Heritage Financial Corporation,Health Care,Regional Banks,2021-06,5
HI,"Hillenbrand, Inc.",Industrials,Industrial Machinery,2021-06,5
HIBB,"Hibbett Sports, Inc.",Consumer Discretionary,Specialty Stores,2021-06,4
HIW,Highwoods Properties],Real Estate,Office REITs,2024-06,2
HLIT,Harmonic Inc.,Information Technology,Communications Equipment,2021-06,5
HLX,"Helix Energy Solutions Group, Inc.",Energy,Oil & Gas Equipment & Services,2021-06,5
HMN,Horace Mann Educators Corporation,Financials,Multi-line Insurance,2021-06,5
HMST,"HomeStreet, Inc.",Financials,Thrifts & Mortgage Finance,2021-06,2
HNGR,"Hanger, Inc.",Health Care,Health Care Facilities,2021-06,2
HNI,HNI Corporation,Industrials,Office Services & Supplies,2021-06,5
HOPE,"Hope Bancorp, Inc.",Financials,Regional Banks,2021-06,5
HOUS,Anywhere Real Estate,Real Estate,Real Estate Services,2023-06,2
HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Drilling,2021-06,5
HPP,Hudson Pacific Properties,Financials,Office REITs,2023-06,2
HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,Biotechnology,2022-06,4
HSC,Harsco Corp.,Industrials,Industrial Machinery,2021-06,3
HSII,"Heidrick & Struggles International, Inc.",Industrials,Human Resource & Employment Services,2021-06,5
HSKA,Heska Corporation,Health Care,Health Care Equipment,2021-06,2
HSTM,"HealthStream, Inc.",Health Care,Health Care Technology,2021-06,5
HT,Hersha Hospitality Trust,Real Estate,Hotel & Resort REITs,2021-06,2
HTH,Hilltop Holdings Inc.,Financials,Regional Banks,2021-06,5
HTLD,"Heartland Express, Inc.",Industrials,Trucking,2021-06,5
HTZ,Hertz,Industrials,Passenger Ground Transportation,2025-06,1
HUBG,"Hub Group, Inc.",Industrials,Air Freight & Logistics,2021-06,5
HVT,"Haverty Furniture Companies, Inc.",Consumer Discretionary,Homefurnishing Retail,2021-06,4
HWKN,"Hawkins, Inc.",Materials,Commodity Chemicals,2021-06,5
HZO,"MarineMax, Inc.",Consumer Discretionary,Specialty Stores,2021-06,5
IAC,IAC Inc.,Communication Services,Publishing,2024-06,2
IART,Integra Lifesciences Holdings,Health Care,Health Care Equipment,2025-06,1
IBP,"Installed Building Products, Inc.",Consumer Discretionary,Homebuilding,2021-06,5
IBTX,"Independent Bank Group, Inc.",Financials,Regional Banks,2021-06,4
ICHR,"Ichor Holdings, Ltd.",Information Technology,Semiconductor Equipment,2021-06,5
ICUI,ICU Medical,Health Care,Health Care Supplies,2024-06,2
IDCC,"InterDigital, Inc.",Information Technology,Communications Equipment,2021-06,5
IIIN,"Insteel Industries, Inc.",Industrials,Building Products,2021-06,5
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,Industrial REITs,2021-06,5
ILPT,Industrial Logistics Properties Trust,Real Estate,Industrial REITs,2021-06,2
INDB,Independent Bank Corp.,Financials,Regional Banks,2021-06,5
INGN,"Inogen, Inc.",Health Care,Health Care Equipment,2021-06,2
INN,"Summit Hotel Properties, Inc.",Real Estate,Hotel & Resort REITs,2021-06,5
INSP,"Inspire Medical Systems, Inc.",Health Care,Health Care Equipment,2025-06,1
INSW,"International Seaways, Inc.",Energy,Oil & Gas Storage & Transportation,2025-06,1
INT,World Fuel Services Corp,Energy,Oil & Gas Refining & Marketing,2022-06,2
INVA,"Innoviva, Inc.",Health Care,Pharmaceuticals,2021-06,5
IOSP,"Innospec, Inc.",Materials,Specialty Chemicals,2021-06,5
IPAR,"Inter Parfums, Inc.",Consumer Staples,Personal Products,2021-06,5
IRBT,iRobot Corporation,Consumer Discretionary,Household Appliances,2021-06,3
IRT,"Independence Realty Trust, Inc.",Real Estate,Residential REITs,2021-06,1
IRWD,"Ironwood Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,2022-06,3
ISBC,"Investors Bancorp, Inc.",Financials,Regional Banks,2021-06,1
ITGR,Integer Holdings Corporation,Health Care,Health Care Equipment,2021-06,5
ITOS,"iTeos Therapeutics, Inc.",Health Care,Biotechnology,2022-06,2
ITRI,"Itron, Inc.",Information Technology,Electronic Equipment & Instruments,2021-06,5
IVC,Invacare Corporation,Health Care,Health Care Equipment,2021-06,1
IVR,"Invesco Mortgage Capital, Inc.",Real Estate,Mortgage REITs,2021-06,3
JACK,Jack in the Box,Consumer Discretionary,Restaurants,2022-06,4
JBGS,JBG Smith,Real Estate,Office REITs,2023-06,3
JBLU,JetBlue,Industrials,Passenger Airlines,2024-06,2
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,Packaged Foods & Meats,2021-06,5
JBT,John Bean Technologies Corporation,Industrials,Industrial Machinery,2021-06,5
JJSF,J&J Snack Foods Corp.,Consumer Staples,Packaged Foods & Meats,2021-06,5
JOE,St. Joe Company,Real Estate,Real Estate Development,2021-06,5
JRVR,"James River Group Holdings, Ltd.",Financials,Property & Casualty Insurance,2021-06,3
JXN,"Jackson Financial, Inc.",Financials,Life & Health Insurance,2024-06,2
JYNT,The Joint Corp.,Health Care,Health Care Facilities,2021-06,2
KAI,Kadant Inc.,Industrials,Industrial Machinery & Supplies & Components,2025-06,1
KALU,Kaiser Aluminum Corporation,Materials,Aluminum,2021-06,5
KAMN,Kaman Corporation,Industrials,Trading Companies & Distributors,2021-06,3
KAR,KAR Auction Services,Industrials,Diversified Support Services,2022-06,4
KELYA,"Kelly Services, Inc.",Industrials,Human Resource & Employment Services,2021-06,4
KFY,Korn/Ferry International,Industrials,Human Resource & Employment Services,2021-06,5
KLG,WK Kellogg Co,Consumer Staples,Packaged Foods & Meats,2024-06,2
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,Semiconductor Equipment,2021-06,5
KMT,Kennametal,Industrials,Industrial Machinery,2023-06,3
KN,Knowles Corporation,Information Technology,Electronic Components,2021-06,5
KOP,"Koppers Holdings, Inc.",Materials,Commodity Chemicals,2021-06,5
KRA,Kraton Corporation,Materials,Specialty Chemicals,2021-06,1
KREF,"KKR Real Estate Finance Trust, Inc.",Financials,Mortgage REITs,2021-06,5
KRG,Kite Realty Group Trust,Real Estate,Retail REITs,2021-06,1
KRYS,"Krystal Biotech, Inc.",Health Care,Biotechnology,2025-06,1
KSS,Kohl's Corp.,Consumer Discretionary,Broadline Retail,2024-06,2
KTB,Kontoor Brands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2021-06,5
KTOS,Kratos Defense & Security Solutions,Industrials,Aerospace & Defense,2025-06,1
KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,Real Estate Services,2023-06,3
KWR,Quaker Chemical Corporation,Materials,Specialty Chemicals,2021-06,5
LBRT,"Liberty Energy, Inc.",Energy,Oil & Gas Equipment & Services,2024-06,2
LCII,LCI Industries,Consumer Discretionary,Auto Parts & Equipment,2021-06,5
LDL,"Lydall, Inc.",Industrials,Industrial Machinery,2021-06,1
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,2025-06,1
LESL,"Leslie's, Inc.",Consumer Discretionary,Home Improvement Retail,2023-06,2
LGIH,LGI Homes,Consumer Discretionary,Homebuilding,2021-06,5
LGND,"Ligand Pharmaceuticals, Inc.",Health Care,Biotechnology,2022-06,4
LKFN,Lakeland Financial,Financials,Diversified Banks,2022-06,4
LL,LL Flooring,Consumer Discretionary,Home Improvement Retail,2021-06,2
LMAT,LeMaitre Vascular,Health Care,Health Care Equipment,2021-06,5
LMNX,Luminex Corporation,Health Care,Life Sciences Tools & Services,2021-06,1
LNC,Lincoln Financial,Financials,Multi-line Insurance,2024-06,2
LNN,Lindsay Corporation,Materials,Agricultural & Farm Machinery,2021-06,5
LNTH,"Lantheus Holdings, Inc.",Health Care,Health Care Supplies,2021-06,2
LOCO,"El Pollo Loco Holdings, Inc.",Consumer Discretionary,Restaurants,2021-06,3
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Storage & Transportation,2021-06,5
LPI,"Laredo Petroleum, Inc.",Energy,Oil & Gas Exploration & Production,2021-06,3
LPSN,"LivePerson, Inc.",Financials,Application Software,2021-06,2
LQDT,"Liquidity Services, Inc.",Consumer Discretionary,Specialized Consumer Services,2021-06,5
LRN,"Stride, Inc.",Consumer Discretionary,Education Services,2023-06,3
LTC,"LTC Properties, Inc.",Real Estate,Health Care REITs,2021-06,5
LTHM,Livent Corp.,Materials,Diversified Chemicals,2021-06,3
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,2023-06,3
LXP,Lexington Realty Trust,Real Estate,Diversified REITs,2021-06,5
LYLT,Loyalty Ventures,Communication Services,Advertising,2022-06,1
LZB,"La-Z-Boy, Inc.",Consumer Discretionary,Home Furnishings,2021-06,5
M,"Macy's, Inc.",Consumer Discretionary,Department Stores,2021-06,1
MAC,Macerich,Real Estate,Retail REITs,2023-06,3
MANT,ManTech International Corporation,Industrials,Diversified Support Services,2021-06,2
MARA,"Marathon Digital Holdings, Inc.",Information Technology,IT Consulting & Other Services,2024-06,2
MATV,"Mativ Holdings, Inc.",Materials,Specialty Chemicals,2024-06,1
MATW,Matthews International Corporation,Industrials,Diversified Support Services,2021-06,5
MATX,"Matson, Inc.",Industrials,Marine,2021-06,5
MBC,"MasterBrand, Inc.",Industrials,Building Products,2023-06,3
MC,Moelis & Company,Financials,Investment Banking & Brokerage,2023-06,3
MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary,Casinos & Gaming,2021-06,5
MCS,The Marcus Corporation,Consumer Discretionary,Movies & Entertainment,2021-06,4
MCW,"Mister Car Wash, Inc.",Consumer Discretionary,Specialized Consumer Services,2023-06,3
MCY,Mercury General,Financials,Property & Casualty Insurance,2023-06,3
MD,Mednax,Health Care,Health Care Services,2021-06,5
MDC,"M.D.C. Holdings, Inc.",Consumer Discretionary,Homebuilding,2021-06,3
MDP,Meredith Corporation,Consumer Discretionary,Publishing,2021-06,1
MDRX,"Allscripts Healthcare Solutions, Inc.",Health Care,Health Care Technology,2021-06,3
MDU,"MDU Resources Group, Inc.",Utilities,Multi-Utilities,2025-06,1
MED,"Medifast, Inc.",Consumer Staples,Personal Products,2021-06,4
MEI,"Methode Electronics, Inc.",Information Technology,Electronic Manufacturing Services,2021-06,4
MERC,"Mercer International, Inc.",Materials,Forest Products,2021-06,4
MGEE,"MGE Energy, Inc.",Utilities,Electric Utilities,2024-06,2
MGLN,"Magellan Health, Inc.",Health Care,Managed Health Care,2021-06,1
MGPI,"MGP Ingredients, Inc.",Consumer Staples,Distillers & Vintners,2021-06,5
MGY,"Magnolia Oil & Gas, Corp.",Energy,Oil & Gas Exploration & Production,2024-06,2
MHO,"M/I Homes, Inc.",Consumer Discretionary,Homebuilding,2021-06,5
MLAB,Mesa Laboratories Inc,Health Care,Health Care Equipment,2021-06,5
MLI,"Mueller Industries, Inc.",Industrials,Industrial Machinery,2021-06,4
MLKN,"MillerKnoll, Inc.",Industrials,Office Services & Supplies,2023-06,3
MMI,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services,2021-06,5
MMSI,"Merit Medical Systems, Inc.",Health Care,Health Care Supplies,2021-06,5
MNRO,"Monro, Inc.",Consumer Discretionary,Automotive Retail,2021-06,5
MODG,Topgolf Callaway Brands,Consumer Discretionary,Leisure Products,2024-06,2
MODV,"Modivcare, Inc.",Health Care,Health Care Facilities,2021-06,3
MOG-A,Moog Inc.,Industrials,Aerospace & Defense,2021-06,5
MOV,"Movado Group, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2021-06,4
MP,MP Materials,Materials,Diversified Metals & Mining,2025-06,1
MPAA,"Motorcar Parts of America, Inc.",Consumer Discretionary,Auto Parts & Equipment,2021-06,2
MPW,Medical Properties Trust,Real Estate,Health Care REITs,2024-06,2
MRCY,Mercury Systems,Industrials,Electrical Components & Equipment,2024-06,2
MRP,"Millrose Properties, Inc.",Real Estate,Single-Family Residential REITs,2025-06,1
MRTN,Marten Transport Ltd,Industrials,Trucking,2021-06,5
MSEX,Middlesex Water Company,Utilities,Water Utilities,2022-06,4
MSGS,Madison Square Garden Sports Corp.,Communication Services,Movies & Entertainment,2024-06,2
MSTR,"MicroStrategy, Inc.",Information Technology,Application Software,2021-06,1
MTDR,Matador Resources,Energy,Oil & Gas Exploration & Production,2021-06,1
MTH,Meritage Homes Corporation,Consumer Discretionary,Homebuilding,2021-06,5
MTOR,"Meritor, Inc.",Industrials,Industrial Machinery,2021-06,2
MTRN,Materion Corp.,Materials,Diversified Metals & Mining,2021-06,5
MTRX,Matrix Service Company,Industrials,Construction & Engineering,2021-06,1
MTUS,Metallus Inc,Materials,Steel,2024-06,2
MTX,Minerals Technologies,Materials,Specialty Chemicals,2023-06,3
MWA,Mueller Water Products,Industrials,Industrial Machinery & Supplies & Components,2025-06,1
MXL,"MaxLinear, Inc.",Information Technology,Semiconductors,2021-06,5
MYE,"Myers Industries, Inc.",Materials,Metal & Glass Containers,2021-06,4
MYGN,"Myriad Genetics, Inc.",Health Care,Biotechnology,2021-06,5
MYRG,"MYR Group, Inc.",Industrials,Construction & Engineering,2021-06,5
NABL,"N-able, Inc.",Information Technology,Systems Software,2023-06,3
NARI,Inari Medical,Health Care,Health Care Equipment,2024-06,1
NATL,NCR Atleos,Financials,Transaction & Payment Processing Services,2024-06,2
NAVI,Navient,Financials,Consumer Finance,2023-06,3
NBHC,National Bank Holdings Corporation,Financials,Regional Banks,2021-06,5
NBR,"Nabors Industries, Ltd.",Energy,Oil & Gas Drilling,2021-06,4
NBTB,"NBT Bancorp, Inc.",Financials,Regional Banks,2021-06,5
NEO,"NeoGenomics Laboratories, Inc.",Health Care,Health Care Services,2021-06,5
NEOG,Neogen,Health Care,Health Care Supplies,2025-06,1
NEX,"NexTier Oilfield Solutions, Inc.",Energy,Oil & Gas Equipment & Services,2023-06,1
NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",Financials,Thrifts & Mortgage Finance,2021-06,4
NGVT,"Ingevity, Corp.",Materials,Specialty Chemicals,2023-06,3
NHC,"National Healthcare, Corp.",Health Care,Health Care Facilities,2024-06,2
NKTR,Nektar Therapeutics,Health Care,Biotechnology,2022-06,1
NMIH,"NMI Holdings, Inc.",Financials,Thrifts & Mortgage Finance,2021-06,5
NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas Exploration & Production,2023-06,3
NP,"Neenah, Inc.",Materials,Paper Products,2021-06,2
NPK,"National Presto Industries, Inc.",Industrials,Aerospace & Defense,2021-06,5
NPO,"EnPro Industries, Inc.",Industrials,Industrial Machinery,2021-06,5
NSIT,"Insight Enterprises, Inc.",Industrials,Technology Distributors,2021-06,5
NTCT,"NETSCOUT Systems, Inc.",Information Technology,Communications Equipment,2022-06,4
NTGR,"Netgear, Inc.",Information Technology,Communications Equipment,2021-06,3
NTUS,"Natus Medical, Inc.",Health Care,Health Care Equipment,2021-06,2
NUS,Nu Skin Enterprises,Consumer Staples,Personal Products,2023-06,2
NUVA,"NuVasive, Inc.",Health Care,Health Care Equipment,2023-06,1
NVEE,NV5 Global,Industrials,Construction & Engineering,2022-06,4
NVRI,Enviri Corporation,Industrials,Industrial Machinery,2024-06,2
NWBI,"Northwest Bancshares, Inc.",Financials,Thrifts & Mortgage Finance,2021-06,5
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,2024-06,2
NWN,NW Natural,Utilities,Gas Utilities,2021-06,5
NX,Quanex Building Products Corporation,Industrials,Building Products,2021-06,5
NXGN,"NextGen Healthcare, Inc.",Health Care,Health Care Technology,2021-06,3
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,Residential REITs,2021-06,5
NYMT,"New York Mortgage Trust, Inc.",Real Estate,Mortgage REITs,2021-06,5
ODP,The ODP Corporation,Consumer Discretionary,Specialty Stores,2021-06,4
OFG,OFG Bancorp,Financials,Regional Banks,2021-06,5
OFIX,"Orthofix Medical, Inc.",Health Care,Health Care Equipment,2021-06,3
OGN,Organon & Co.,Health Care,Pharmaceuticals,2024-06,2
OI,"O-I Glass, Inc.",Materials,Metal & Glass Containers,2021-06,5
OII,"Oceaneering International, Inc.",Energy,Oil & Gas Equipment & Services,2021-06,5
OIS,"Oil States International, Inc.",Energy,Oil & Gas Equipment & Services,2021-06,3
OMCL,"Omnicell, Inc.",Health Care,Health Care Technology,2021-06,4
OMI,"Owens & Minor, Inc.",Health Care,Health Care Distributors,2021-06,5
ONB,Old National Bancorp,Financials,Regional Banks,2021-06,1
ONL,"Orion Office REIT, Inc.",Real Estate,Office REITs,2022-06,2
ONTO,"Onto Innovation, Inc.",Information Technology,Semiconductor Equipment,2021-06,3
OPI,Office Properties Income Trust,Real Estate,Office REITs,2021-06,3
OPRX,OptimizeRx Corp.,Health Care,Health Care Technology,2022-06,1
ORGO,Organogenesis Holdings Inc.,Health Care,Biotechnology,2021-06,2
OSIS,"OSI Systems, Inc.",Information Technology,Electronic Equipment & Instruments,2021-06,5
OSPN,"OneSpan, Inc.",Information Technology,Systems Software,2021-06,3
OSUR,"OraSure Technologies, Inc.",Health Care,Health Care Supplies,2021-06,4
OTTR,Otter Tail Corporation,Utilities,Electric Utilities,2023-06,3
OUT,Outfront Media,Real Estate,Specialized REITs,2023-06,3
OXM,"Oxford Industries, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2021-06,5
PACW,PacWest Bancorp,Financials,Regional Banks,2023-06,1
PAHC,Phibro Animal Health Corp.,Health Care,Pharmaceuticals,2021-06,5
PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,2021-06,5
PATK,"Patrick Industries, Inc.",Consumer Discretionary,Auto Parts & Equipment,2021-06,5
PAYO,Payoneer Global Inc.,Information Technology,Data Processing & Outsourced Services,2023-06,3
PBF,"PBF Energy, Inc.",Energy,Oil & Gas Refining & Marketing,2021-06,2
PBH,Prestige Consumer Healthcare,Health Care,Pharmaceuticals,2021-06,5
PBI,"Pitney Bowes, Inc.",Industrials,Office Services & Supplies,2021-06,5
PCRX,"Pacira BioSciences, Inc.",Health Care,Pharmaceuticals,2021-06,5
PDCE,"PDC Energy, Inc.",Energy,Oil & Gas Exploration & Production,2021-06,1
PDCO,Patterson Companies,Health Care,Health Care Distributors,2024-06,1
PDFS,"PDF Solutions, Inc.",Information Technology,Semiconductor Equipment,2021-06,5
