ticker,company,sector,industry,float_shares,float_source
WHD,"Cactus, Inc.",Energy,Oil & Gas Equipment & Services,58629556.0,floatShares
WINA,Winmark,Consumer Discretionary,Other Specialty Retail,2751566.0,floatShares
WKC,World Kinect Corporation,Energy,Oil & Gas Refining & Marketing,48788415.0,floatShares
WLY,John Wiley & Sons,Communication Services,Publishing,37952502.0,floatShares
WOR,Worthington Enterprises,Industrials,Building Products,29986521.0,floatShares
WRBY,Warby Parker,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",93322845.0,floatShares
WRLD,World Acceptance Corporation,Financials,Consumer Finance,2162549.0,floatShares
WS,Worthington Steel,Materials,Steel,44855257.0,floatShares
WSBC,WesBanco,Financials,Regional Banks,91365704.0,floatShares
WSC,WillScot Holdings Corp.,Industrials,Office Services & Supplies,172591635.0,floatShares
WSFS,WSFS Financial Corporation,Financials,Regional Banks,50129591.0,floatShares
WT,"WisdomTree Investments, Inc.",Financials,Asset Management & Custody Banks,131927718.0,floatShares
WU,Western Union,Financials,Transaction & Payment Processing Services,303888642.0,floatShares
WWW,"Wolverine World Wide, Inc.",Consumer Discretionary,Footwear,74094768.0,floatShares
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,Hotel & Resort REITs,90350183.0,floatShares
XNCR,Xencor Inc,Health Care,Biotechnology,53399866.0,floatShares
XPEL,"XPEL, Inc.",Consumer Discretionary,Automotive Parts & Equipment,22887581.0,floatShares
YELP,"Yelp, Inc.",Communication Services,Interactive Media & Services,52023076.0,floatShares
YOU,"Clear Secure, Inc.",Information Technology,Application Software,90384716.0,floatShares
ZD,Ziff Davis,Communication Services,Advertising,28030478.0,floatShares
ZWS,Zurn Elkay Water Solutions Corp.,Industrials,Industrial Machinery & Supplies & Components,145189137.0,floatShares
