ticker,company,price,pct_change,volume,exchange
GEMI,"Gemini Space Station, Inc.",5.81,31.151243,12756921,NMS
CANG,Cango Inc.,2.69,23.963133,1448270,NYQ
SECZ,Securitize Corp.,10.96,22.732359,8286238,NYQ
FEAM,"5E Advanced Materials, Inc.",2.5,21.359226,3000050,NMS
DSP,Viant Technology Inc.,11.88,18.56287,2565530,NMS
LVWR,"LiveWire Group, Inc.",1.66,16.90141,2060578,NYQ
BKKT,"Bakkt, Inc.",8.59,15.147455,1724712,NYQ
BTGO,"BitGo Holdings, Inc.",7.55,11.68639,2711367,NYQ
CIFR,Cipher Digital Inc.,18.34,8.264461,38776317,NMS
RXRX,"Recursion Pharmaceuticals, Inc.",3.83,8.192089,42930663,NMS
FIP,FTAI Infrastructure Inc.,3.0,7.5268836,2543211,NMS
ANGX,"Angel Studios, Inc.",5.249,7.122448,2332854,NYQ
VNET,"VNET Group, Inc.",6.52,7.060752,4495218,NMS
THM,"International Tower Hill Mines,",2.6,6.9958777,1387238,ASE
KC,Kingsoft Cloud Holdings Limited,9.92,5.756929,1969655,NMS
NRGV,"Energy Vault Holdings, Inc.",4.47,5.6737533,3740574,NYQ
SG,"Sweetgreen, Inc.",7.215,5.482456,4138983,NYQ
APUS,"Apimeds Pharmaceuticals US, Inc",1.76,5.3892236,1321021,ASE
KPTI,Karyopharm Therapeutics Inc.,1.88,5.027935,1564981,NMS
CORZ,"Core Scientific, Inc.",17.99,4.959162,12886818,NMS
SOC,Sable Offshore Corp.,4.55,4.5977077,4530315,NYQ
XXI,"Twenty One Capital, Inc.",5.82,4.4883304,3412457,NYQ
ABSI,Absci Corporation,9.65,4.0992355,6367928,NMS
HAFN,Hafnia Limited,10.115,4.063781,2134882,NYQ
NAK,"Northern Dynasty Minerals, Ltd.",1.32,3.9370134,4177313,ASE
FDMT,"4D Molecular Therapeutics, Inc.",15.22,3.678474,1657214,NMS
CHPT,"ChargePoint Holdings, Inc.",10.28,3.6290288,1846493,NYQ
GORO,Goldgroup Mining Inc.,3.635,3.5612535,1229358,ASE
BILI,Bilibili Inc.,14.9,3.4722223,3040334,NMS
EVGO,EVgo Inc.,1.52,3.4013574,14175360,NMS
GAU,Galiano Gold Inc.,2.14,3.381651,3476743,ASE
ZH,Zhihu Inc.,3.22,3.205133,1160750,NYQ
HYLN,Hyliion Holdings Corp.,4.208,3.1372614,2074514,ASE
