ticker,company,price,pct_change,volume,exchange
TGB,Trekor Metals Limited,8.64,3.102628,5454286,ASE
OPK,"Opko Health, Inc.",1.67,3.0864167,4822164,NMS
IRWD,"Ironwood Pharmaceuticals, Inc.",4.36,3.0732887,7019407,NMS
RBBN,Ribbon Communications Inc.,1.72,2.9940164,1509427,NMS
NXH,"Neighborhood Intelligence, Inc.",3.47,2.9673634,3765547,NMS
PLAY,"Dave & Buster's Entertainment, ",6.73,2.9051998,3035534,NMS
TRX,TRX Gold Corporation,1.295,2.7777753,6525210,ASE
STTK,"Shattuck Labs, Inc.",6.01,2.7350483,5781665,NMS
ARHS,"Arhaus, Inc.",7.79,2.6350434,1861398,NMS
IAUX,i-80 Gold Corp.,1.795,2.5714262,14711801,ASE
TDUP,ThredUp Inc.,2.48,2.4793365,9193648,NMS
USAS,Americas Gold and Silver Corpor,5.185,2.4703557,3507402,ASE
CTNM,"Contineum Therapeutics, Inc.",13.53,2.422405,1617092,NMS
DDD,3D Systems Corporation,3.625,2.401131,2154432,NYQ
AMRX,"Amneal Pharmaceuticals, Inc.",18.71,2.3522887,4758579,NMS
ARIS,Aris Mining Corporation,19.395,2.3482833,1034259,NYQ
BORR,Borr Drilling Limited,4.46,2.2935758,5134817,NYQ
BMEA,"Biomea Fusion, Inc.",1.83,2.2346416,1592722,NMS
RC,Ready Capital Corporation,1.665,2.1472373,1858340,NYQ
EQX,Equinox Gold Corp.,12.48,2.1276536,21098362,ASE
AG,First Majestic Silver Corp.,19.89,2.0523326,8919355,NYQ
ALKT,"Alkami Technology, Inc.",19.13,1.9722757,2427803,NMS
EMBC,Embecta Corp.,5.29,1.9267805,2294696,NMS
OPTU,"Optimum Communications, Inc.",1.06,1.9230751,2105116,NYQ
BGC,"BGC Group, Inc.",12.22,1.9182693,6953044,NMS
SLI,Standard Lithium Ltd.,2.13,1.9138852,1106606,ASE
VZLA,Vizsla Silver Corp.,4.085,1.8703192,3407014,ASE
VISN,"Vistance Networks, Inc.",6.57,1.8604707,30394306,NMS
ACRS,"Aclaris Therapeutics, Inc.",5.5,1.85185,3080889,NMS
SB,"Safe Bulkers, Inc",9.17,1.7758029,1489234,NYQ
XRAY,DENTSPLY SIRONA Inc.,9.54,1.7599996,7950512,NMS
CTKB,"Cytek Biosciences, Inc.",5.3,1.7274501,1751423,NMS
HLF,Herbalife Ltd.,11.89,1.7108705,1338775,NYQ
ENVX,Enovix Corporation,2.99,1.7006787,7682754,NMS
BEKE,KE Holdings Inc,16.27,1.6875029,4836051,NYQ
NTSK,"Netskope, Inc.",17.49,1.6269652,15887258,NMS
ASM,Avino Silver & Gold Mines Ltd.,6.39,1.5898237,2399904,ASE
OCTV,Octave Intelligence plc,18.82,1.5650243,11999066,NMS
PINS,"Pinterest, Inc.",18.59,1.5292228,13869980,NYQ
NEWP,New Pacific Metals Corp.,5.98,1.5280162,1674781,ASE
FRVO,Fervo Energy Company,16.91,1.5006003,7942055,NMS
PWP,Perella Weinberg Partners,12.96,1.4878589,2186561,NMS
ANNX,"Annexon, Inc.",4.23,1.4388475,4006003,NMS
GRPN,"Groupon, Inc.",19.08,1.4354092,3045710,NMS
PTON,"Peloton Interactive, Inc.",4.97,1.4285651,9258258,NMS
BTG,B2Gold Corp,5.477,1.4259285,23511554,ASE
LI,Li Auto Inc.,12.14,1.4202179,1768615,NMS
FUBO,fuboTV Inc.,10.04,1.414145,1546751,NYQ
ADTN,"ADTRAN Holdings, Inc.",7.2,1.4084494,2817421,NMS
SOFI,"SoFi Technologies, Inc.",16.96,1.3747731,42648252,NMS
EROC,"ERock, Inc.",13.075,1.3565906,2301447,NYQ
ENOV,Enovis Corporation,18.04,1.3483241,1197176,NYQ
BBWI,"Bath & Body Works, Inc.",17.42,1.3379844,5189874,NYQ
NEOG,Neogen Corporation,13.0,1.3250201,5687262,NMS
TLRY,"Tilray Brands, Inc.",3.99,1.2690343,2848459,NMS
CMPS,COMPASS Pathways Plc - American,15.19,1.2666639,3507575,NMS
NIO,NIO Inc.,3.665,1.243096,23353224,NYQ
NAT,Nordic American Tankers Limited,8.25,1.2269986,3732622,NYQ
MBC,"MasterBrand, Inc.",6.63,1.2213728,6468554,NYQ
EC,Ecopetrol S.A.,17.59,1.208291,1184591,NYQ
LBRT,Liberty Energy Inc.,19.34,1.203556,1971573,NYQ
AESI,Atlas Energy Solutions Inc.,13.58,1.1922493,1099475,NYQ
NVAX,"Novavax, Inc.",10.11,1.0999966,9593282,NMS
TMC,TMC the metals company Inc.,3.78,1.0695177,3390391,NMS
AUTL,Autolus Therapeutics plc,1.94,1.0416719,1758238,NMS
HLIT,Harmonic Inc.,11.1,1.0009155,2499369,NMS
KLXE,"KLX Energy Services Holdings, I",1.52,0.9966768,2033846,NMS
