ticker,company,price,pct_change,volume,exchange
APUS,"Apimeds Pharmaceuticals US, Inc",4.92,114.847,87177495,ASE
DNA,"Ginkgo Bioworks Holdings, Inc.",10.25,19.4639,4013795,NYQ
UXIN,Uxin Limited,1.3,19.266,16121381,NMS
SDEV,Stablecoin Development Corporat,1.29,15.1786,4752360,ASE
SECZ,Securitize Corp.,16.53,15.1114,10352138,NYQ
PAAI,"Paradium.AI, Inc.",1.76,13.5484,3291984,ASE
PACB,Pacific Biosciences of Californ,1.58,12.0567,10849426,NMS
RSKD,Riskified Ltd.,7.91,10.7843,7156761,NYQ
LU,Lufax Holding Ltd,1.35,10.6557,4213955,NYQ
PL,Planet Labs PBC,17.62,7.57022,15476864,NYQ
SG,"Sweetgreen, Inc.",8.26,7.13359,5915312,NYQ
ABSI,Absci Corporation,10.345,6.15701,3380639,NMS
PRGO,Perrigo Company plc,14.68,6.06937,7733864,NYQ
TRIP,"TripAdvisor, Inc.",8.52,5.97016,6991398,NMS
KOS,Kosmos Energy Ltd.,2.79,5.28301,11835105,NYQ
RXRX,"Recursion Pharmaceuticals, Inc.",3.89,5.13514,19111133,NMS
ARHS,"Arhaus, Inc.",9.47,4.98891,1935769,NMS
FIGS,"FIGS, Inc.",12.49,4.34419,2547547,NYQ
SONO,"Sonos, Inc.",17.84,4.32748,1731585,NMS
AVTR,"Avantor, Inc.",15.38,4.20054,7719548,NYQ
BB,BlackBerry Limited,8.73,4.1766,45030721,NYQ
ERAS,"Erasca, Inc.",14.52,4.12335,6266616,NMS
QBTS,D-Wave Quantum Inc.,17.48,3.98572,18548829,NMS
MRVI,"Maravai LifeSciences Holdings, ",7.65,3.79919,2388642,NMS
XTND,"Xtend AI Robotics, Inc.",4.1,3.79746,1091106,NYQ
GCTS,"GCT Semiconductor Holding, Inc.",2.24,3.7037,1185449,NYQ
RXT,"Rackspace Technology, Inc.",4.2,3.70369,5290445,NMS
YELP,Yelp Inc.,18.37,3.60971,1885907,NYQ
