ticker,company,price,pct_change,volume,exchange
TMC,TMC the metals company Inc.,4.41,6.52174,5139633,NMS
BKKT,"Bakkt, Inc.",9.73,6.45513,1939063,NYQ
EGHT,8x8 Inc,1.99,6.41711,1778690,NMS
ARHS,"Arhaus, Inc.",9.29,6.41467,1413071,NMS
STTK,"Shattuck Labs, Inc.",6.5,6.38298,1459311,NMS
COTY,Coty Inc.,2.67,6.37451,5200366,NYQ
WRN,Western Copper and Gold Corpora,2.52,6.32912,1436301,ASE
KRO,Kronos Worldwide Inc,8.58,6.31971,1058185,NYQ
FIP,FTAI Infrastructure Inc.,3.26,6.18893,1147515,NMS
MBC,"MasterBrand, Inc.",7.24,6.15835,3195256,NYQ
CPRI,Capri Holdings Limited,15.19,6.14954,11112268,NYQ
PONY,Pony AI Inc.,7.29,5.9593,5881481,NMS
BOBS,"Bob's Discount Furniture, Inc.",15.29,5.88643,1244877,NYQ
ANVS,"Annovis Bio, Inc.",1.26,5.88235,1211228,NYQ
VIR,"Vir Biotechnology, Inc.",11.5,5.69853,1851911,NMS
VZLA,Vizsla Silver Corp.,4.3,5.65111,4483012,ASE
ASPN,"Aspen Aerogels, Inc.",5.48,5.58767,1495380,NYQ
NG,Novagold Resources Inc.,7.77,5.57065,5029744,ASE
GENI,Genius Sports Limited,6.08,5.55555,9384152,NYQ
XRAY,DENTSPLY SIRONA Inc.,9.95,5.40254,5133546,NMS
LODE,Comstock Inc.,2.76,5.34352,1777963,ASE
BTGO,"BitGo Holdings, Inc.",8.28,5.34351,2267904,NYQ
SBH,"Sally Beauty Holdings, Inc. (Na",16.96,5.21091,1362171,NYQ
ASM,Avino Silver & Gold Mines Ltd.,6.49,5.01618,3261715,ASE
CAPR,"Capricor Therapeutics, Inc.",9.34,4.94383,2489949,NMS
EQX,Equinox Gold Corp.,12.76,4.93421,16054770,ASE
SFIX,"Stitch Fix, Inc.",2.99,4.91228,3946829,NMS
PLAY,"Dave & Buster's Entertainment, ",7.12,4.86009,3001419,NMS
NABL,"N-able, Inc.",4.11,4.84694,2985832,NYQ
PAAI,"Paradium.AI, Inc.",1.3,4.83871,15482098,ASE
KSS,Kohl's Corporation,18.27,4.81928,3495061,NYQ
XRX,Xerox Holdings Corporation,3.49,4.80481,2049596,NMS
ACHR,Archer Aviation Inc.,5.69,4.78822,20381389,NYQ
USAS,Americas Gold and Silver Corpor,5.26,4.78088,2945373,ASE
QXO,"QXO, Inc.",12.78,4.7541,23666067,NYQ
CHPT,"ChargePoint Holdings, Inc.",9.85,4.67588,1804519,NYQ
REPL,"Replimune Group, Inc.",13.47,4.66201,1529679,NMS
AUTL,Autolus Therapeutics plc,2.03,4.63917,1565812,NMS
OPTU,"Optimum Communications, Inc.",1.13,4.62962,1865575,NYQ
BIOA,"BioAge Labs, Inc.",8.46,4.57355,1067352,NMS
SLDB,Solid Biosciences Inc.,8.92,4.44965,1305486,NMS
BHVN,Biohaven Ltd.,14.85,4.43038,2431666,NYQ
NAK,"Northern Dynasty Minerals, Ltd.",1.45,4.31655,4794227,ASE
HMY,Harmony Gold Mining Company Lim,19.82,4.31579,5641097,NYQ
SVM,Silvercorp Metals Inc.,12.34,4.31108,1523788,ASE
ARIS,Aris Mining Corporation,19.84,4.25643,1654759,NYQ
OGG,Osisko Gold Group Inc.,2.74,4.18251,1923306,NYQ
PHAT,"Phathom Pharmaceuticals, Inc.",7.76,4.16108,1953033,NMS
ALEC,"Alector, Inc.",2.01,4.14508,1464172,NMS
BTG,B2Gold Corp,5.58,4.10447,16187321,ASE
XXI,"Twenty One Capital, Inc.",6.88,4.08472,2471207,NYQ
BUR,Burford Capital Limited,4.1,4.06091,2043084,NYQ
MRVI,"Maravai LifeSciences Holdings, ",7.46,4.04463,1550573,NMS
NVAX,"Novavax, Inc.",10.83,4.03458,7574082,NMS
CWH,"Camping World Holdings, Inc.",5.7,4.0146,2305505,NYQ
ITRG,Integra Resources Corp.,2.88,3.97112,1392337,ASE
AMPX,"Amprius Technologies, Inc.",9.98,3.85015,4427909,NYQ
VFC,V.F. Corporation,13.55,3.83142,9476923,NYQ
FSM,Fortuna Mining Corp.,12.21,3.82653,3386435,NYQ
CLF,Cleveland-Cliffs Inc.,12.53,3.8111,19516562,NYQ
BGS,"B&G Foods, Inc.",3.04,3.75426,1858170,NYQ
EXK,Endeavour Silver Corporation,10.51,3.75124,7983772,NYQ
HL,Hecla Mining Company,19.03,3.70572,49118788,NYQ
TLRY,"Tilray Brands, Inc.",4.23,3.67647,4257237,NMS
CERT,"Certara, Inc.",8.83,3.63849,2287913,NMS
