ticker,company,price,pct_change,volume,exchange
SDEV,Stablecoin Development Corporat,1.27,27.0,2159089,ASE
BFLY,"Butterfly Network, Inc.",9.93,21.9902,19698328,NYQ
EAF,GrafTech International Ltd.,11.21,19.765,1257226,NYQ
SPRO,"Spero Therapeutics, Inc.",1.36,19.2982,7757500,NMS
FEAM,"5E Advanced Materials, Inc.",2.94,18.5484,1804757,NMS
DNA,"Ginkgo Bioworks Holdings, Inc.",9.37,17.4185,3325474,NYQ
SGRY,"Surgery Partners, Inc.",15.8,15.6662,8108997,NMS
SMJF,SMJ International Holdings Inc.,1.24,13.7615,2225213,ASE
MNRO,"Monro, Inc.",14.29,10.7752,1338631,NMS
RSKD,Riskified Ltd.,7.01,10.3937,5226150,NYQ
IBRX,"ImmunityBio, Inc.",9.29,9.94083,21031301,NMS
ADCT,ADC Therapeutics SA,1.23,9.82143,1673881,NYQ
FOSL,"Fossil Group, Inc.",6.41,9.38566,1187285,NMS
GT,The Goodyear Tire & Rubber Comp,5.49,9.36255,14345256,NMS
ABSI,Absci Corporation,10.71,9.06314,8357434,NMS
IE,Ivanhoe Electric Inc.,10.74,9.03553,2061494,ASE
GRAB,Grab Holdings Limited,3.17,8.93471,180764656,NMS
DC,Dakota Gold Corp.,6.9,8.83281,3435831,ASE
VLN,Valens Semiconductor Ltd.,1.92,8.47458,1166942,NYQ
SRAD,Sportradar Group AG,13.6,8.45295,6419786,NMS
TRLV,Trulieve Cannabis Corp. Subordi,12.47,8.43478,3248051,NYQ
TRX,TRX Gold Corporation,1.43,8.33333,4033635,ASE
CTKB,"Cytek Biosciences, Inc.",5.71,8.14394,3778823,NMS
PACB,Pacific Biosciences of Californ,1.47,8.08824,7841384,NMS
RYAM,Rayonier Advanced Materials Inc,9.16,8.01887,1063904,NYQ
TGB,Trekor Metals Limited,9.36,7.95847,6224116,ASE
JELD,"JELD-WEN Holding, Inc.",1.84,7.60234,2588674,NYQ
DFH,"Dream Finders Homes, Inc.",12.26,7.54387,1434772,NYQ
IAUX,i-80 Gold Corp.,1.87,7.47126,17308520,ASE
SANA,"Sana Biotechnology, Inc.",3.33,7.41936,6940909,NMS
HLLY,Holley Inc.,2.67,6.8,3180072,NYQ
KLRA,"Kailera Therapeutics, Inc.",12.79,6.67223,1229980,NMS
RARE,Ultragenyx Pharmaceutical Inc.,15.615,6.58703,8120553,NMS
ORIC,"Oric Pharmaceuticals, Inc.",13.5,6.55091,1157558,NMS
CTMX,"CytomX Therapeutics, Inc.",2.94,6.52174,7909844,NMS
